var1,var2,var3,var4,var5,var6,var7,var8,var9,var10
0.9321706597192531,0.9701393385168247,0.11093126788109309,0.2723131394378777,0.5925658668512225,0.20982406342828497,0.45984628851030596,0.49128335295267345,0.03580637385940333,
0.9317830804329146,0.6016543563872387,0.5663186165492186,0.5654585287864519,0.6015657298981575,0.9408230957567112,0.06674148378988387,0.4349155705972245,0.4246330677134812,0.4583987886532084
0.9561649763663285,0.9281173007282817,0.5270959813802608,,0.5372361232916729,0.5419764244045676,0.5514794583665426,0.41146575277656594,0.5479363973075693,0.22281506361780556
0.5514820185594226,,0.9516783112558796,,0.4935691748460206,0.7724417263054143,,0.5028939028482419,0.6673934167367905,
0.33724642817502115,0.57621689495423,,0.1453790054048344,,0.3269712663747104,0.4258096151618336,0.8258422209870382,,0.05981852685128819
0.6559937715657607,0.3626590327728789,0.9090786575412306,0.6119793316691631,0.5377984404382231,0.8239583665432311,0.5765825573054804,0.8775152652370022,0.017862632704085946,0.8892592273542712
0.9155062682832572,0.9537467374625955,0.38287802664924275,0.21167515483030586,0.7781558723915174,0.7753348226818337,0.6503671919147359,0.5013519587675194,0.4895337036805011,0.8156330207195363
0.11253574599984739,0.5585281932778369,0.39450668725503535,0.44707110491523716,0.48260243265362024,0.36459796462623817,0.4143017174295902,0.010305127185831209,0.9835485528229369,0.36390901767565753
0.7697347289305985,0.05596441754407255,0.10849803590737284,0.7558607382040299,0.11642961042077404,0.06273546480808223,0.8914189542524915,0.014443600022492897,0.43905344687513725,0.5879451122847761
0.15089330423921843,0.21067643943966008,0.03839479925334599,0.3042951065063154,0.38095286545880125,0.5888747287018025,0.7302481970692455,0.042267183053916746,0.9740783531232352,0.6998667455778091
0.5709140860404224,0.8734049660487564,0.31433691824810495,0.6491048326810138,0.9215500176010258,0.6828580173866259,0.5583975229389059,0.4341866101493591,0.798393659434341,0.9567506466328113
0.27594133988622627,0.03387805163292246,0.9529538164597541,0.7640314488352095,0.48792491956056583,0.9788960719392145,0.16339882927528782,0.9907595649528456,0.9122875215113148,
0.6211874219889525,,0.702024451087647,0.8953522651126009,0.9958002495170257,,,0.16165537878361336,0.7833001655654027,0.31983410025426384
0.5366439401063144,0.24080785110251468,0.8323208672878435,0.24824710829482488,0.6697896731370214,0.7847832458050877,0.3992043768912312,0.4568055667554486,0.2578498479963567,0.7697851167525194
,0.21624214956132193,0.5295691390502609,0.7811686267361084,0.5653227951418283,0.6136333548327618,0.17692460714389457,0.016545782743647264,0.8975723277884387,0.0598901229457528
,0.5350209762580751,0.21957076387289542,0.15246726774218222,,0.006714039457424437,0.8264790255453014,0.6921465385685536,0.8017340690596462,
0.08790694478038807,0.1079009138817465,0.23108669505929447,0.3436213699837355,0.8896305282470557,0.6003937886282438,0.35263537966452463,,0.8138844419681188,0.1874872437152526
,0.18947398020294037,0.7213830934927097,0.020152416016890107,0.11889493418693886,0.4031671875443722,,0.37599290346545533,0.98821799244091,0.6088044336867146
0.5435784579148618,,0.21546729061000303,0.23314449707679108,0.2956305967201365,0.5942494400503437,0.7497705636172516,0.8064563730025764,0.6086515169373973,
,0.5476006295309085,0.7441615492353841,0.7589688637483906,0.9235495178672174,0.002530722574317079,0.8683948460363116,0.5083105661830213,0.4660377999084142,0.4559287641918608
0.5866681177489758,,0.38861061133594543,0.4991466968264898,0.5602244062044793,0.5462091191925894,0.35985174744600723,0.4204686660883634,0.5888104548457241,0.366822767548569
0.6027383680460718,0.7922942388456768,0.04237232900284538,0.31303238974236236,0.9825033427264201,0.1596297034547982,0.6596693275772254,0.9986738407174655,0.42449996489782593,0.846927580260307
0.8697755181924671,,0.39369482374338816,0.8318331227703207,,0.8544166735726904,,0.9095216685024474,0.8241122589652115,0.9722244991916876
,0.6008250761439218,0.08426072839655985,0.6564588685534996,,0.4797301587424817,0.18421944139237267,0.7835854472226497,0.8617516219833676,0.7622332562513392
0.5469538464930791,0.9167325490584126,,0.7647776763215293,,0.3769184674087904,0.1144590884725587,,0.8222542803435511,0.012907909775883852
0.8882837489344705,0.40664195592038954,0.9894968253540761,,0.5387849340667411,0.7197642673255548,,0.8230745640971974,0.27947748684973717,0.33427778765911675
0.2716283735818329,0.9613852751033689,0.5892026198539164,0.02504638623848554,0.42128532814037567,,0.4978076609843014,0.2196041478429861,0.5294849599151876,0.7870670870942156
0.7476774475208671,0.2671241634880398,,0.8067298906506657,0.051490858262714934,0.944939043515095,0.5220514314656146,,0.21802733474378444,0.6636871643097839
0.13140300501094693,0.9483714809411069,0.7760711763573247,0.14169294923346676,0.5653544218667957,0.9947341514497341,0.6289906317165275,0.2233411583385686,0.9746415255363112,0.7263229950871948
0.24144112549653662,0.7182757564969021,0.2875733922203585,0.6999486733432561,0.16025808735621738,0.10080849710045192,,0.9069268301638111,0.09550071331842214,0.7553824223029032
0.45185702993005616,0.49414672641136315,0.7905932096319201,0.6035808551288611,0.9761449888353322,0.9855852678996402,0.34271773558863194,0.9443876431648653,0.792743331351659,0.45463271719502985
0.7763839779435912,0.04064910201721261,0.08182013381921382,0.17726124104253593,0.6435353170356056,0.28424130796259506,0.9000358878089983,0.12905248696219107,0.8346629391934753,0.8908149765694636
,0.9113856053986211,0.6385001981114306,0.3134718622188092,0.9033957923223025,0.36570004511248355,0.8192528156474624,0.8462941708829075,0.5882770955995973,0.948524480750957
0.5631625732404196,0.7990513326685671,0.9813903754647086,0.6338259449429899,,0.8740271590879679,0.7975012388450234,0.34557217303136667,0.6308714310221591,0.4379109366061219
